lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01001007,Croydon 016B,9.30,66.92,15.00,27.80,20.80,15.50,18.30,17.50,24.00,2.90,50.10,20.10,2.90,76.00,47.40,52.60,42.90,0.40,31.10,0.00,11.30,1.10,0.30,6.60,6.30,24.10,41.00,11.70,21.70,98.90,1.10,7.00,16.50,72.20,4.20,210000.00,18.90,14.70,16.80,1.60,10.70,22.60,14.60,10.10,5.90,6.90,87.20,83.90,11.50,4.60,26.40,49.80,18.80,4.30,0.70,1.00,3.00,26675
E01001177,Croydon 016C,8.30,66.79,29.40,24.00,13.80,23.00,23.20,16.00,26.30,6.40,37.50,27.50,2.30,73.70,56.20,43.80,47.00,0.70,16.20,0.10,13.70,0.90,0.60,14.80,6.10,14.30,33.40,33.60,17.40,98.70,1.30,6.50,21.30,55.60,16.70,205000.00,17.80,17.80,16.10,1.30,10.40,24.80,11.80,11.30,8.00,7.70,84.30,81.00,12.80,6.20,34.70,45.40,15.60,3.30,1.10,0.90,2.80,25279
E01001179,Croydon 016D,6.70,63.82,11.50,26.60,20.80,17.30,22.70,12.60,26.10,5.30,42.50,24.40,1.60,73.90,55.10,44.90,49.60,0.30,23.60,0.10,10.30,0.30,0.70,8.00,7.10,24.50,42.40,5.60,26.20,98.40,1.60,6.80,19.20,69.80,4.20,196938.00,18.70,14.60,13.20,1.30,10.70,29.50,12.10,8.30,5.90,7.40,86.60,82.90,12.70,4.40,33.80,49.40,14.90,1.50,0.40,0.90,2.70,28386
E01001180,Croydon 016E,10.80,64.88,15.30,21.70,17.40,23.50,20.50,16.90,26.20,6.90,38.00,26.40,2.50,73.80,49.60,50.40,48.20,0.80,16.40,0.00,13.80,0.50,0.20,11.90,8.30,17.10,39.90,6.90,33.50,97.60,2.40,6.30,21.20,52.10,20.50,180000.00,18.50,14.30,14.30,1.60,11.90,26.10,13.20,8.70,4.20,7.50,88.30,86.60,9.90,3.50,39.40,45.60,12.50,2.00,0.50,0.80,2.90,25531
E01000980,Croydon 017A,7.20,69.51,14.50,21.90,21.20,16.30,29.70,11.00,53.90,7.50,13.00,24.80,0.90,46.10,72.50,27.50,59.60,0.60,4.50,0.40,5.30,0.30,0.50,21.70,7.20,20.70,46.80,13.80,17.50,98.30,1.70,1.60,27.60,52.30,18.60,207500.00,15.90,13.50,15.40,2.60,12.60,32.70,7.40,4.40,6.10,5.60,88.30,84.10,12.20,3.80,32.30,49.50,13.40,3.40,1.40,0.90,2.70,31995
E01000981,Croydon 017B,6.20,67.97,17.10,24.30,26.00,15.10,26.00,8.70,59.60,8.10,10.50,20.50,1.30,40.40,76.50,23.50,57.70,0.90,3.00,0.10,4.80,0.30,0.40,24.70,8.20,22.40,51.20,8.20,14.40,96.10,3.90,4.00,11.00,73.60,11.40,215000.00,15.70,16.70,15.30,2.00,13.30,31.00,6.00,4.80,5.00,6.70,88.30,85.70,10.50,3.80,29.50,50.50,16.40,3.10,0.50,0.90,3.90,34586
E01000982,Croydon 017C,7.50,71.26,13.70,17.40,25.40,17.00,30.00,10.20,60.30,6.90,13.30,18.10,1.40,39.70,72.10,27.90,56.80,0.70,4.30,0.00,6.00,0.00,0.60,23.70,7.90,20.80,41.80,10.50,25.40,98.00,2.00,2.90,13.90,57.20,26.10,204000.00,16.40,14.20,13.50,2.50,13.00,32.60,7.70,4.60,5.80,6.20,88.00,85.40,9.70,4.90,38.50,47.50,12.10,1.60,0.30,0.80,3.00,30012
E01000983,Croydon 017D,6.20,70.97,15.60,22.90,26.90,11.10,25.60,13.50,63.40,8.20,13.00,14.00,1.50,36.60,75.10,24.90,57.20,0.50,4.20,0.40,7.10,0.10,0.40,21.60,8.60,27.80,45.60,4.80,20.80,97.90,2.10,3.70,12.20,71.00,13.10,231250.00,15.50,13.60,16.40,3.50,12.20,31.70,7.00,4.50,4.80,7.70,87.50,84.80,11.90,3.30,28.60,50.40,17.40,3.00,0.60,1.00,3.70,36636
E01001187,Croydon 017E,9.10,69.46,16.60,19.00,19.30,18.50,33.60,9.50,49.40,10.40,12.40,26.00,1.80,50.60,70.10,29.90,60.20,1.00,2.20,0.00,8.40,0.40,0.20,21.70,6.00,16.60,37.60,17.60,23.00,98.10,1.90,2.50,25.10,36.60,35.80,189975.00,17.70,14.20,17.30,2.50,11.40,27.90,9.10,6.70,5.60,7.00,87.50,83.60,12.30,4.10,37.00,48.20,12.50,2.20,0.10,0.80,2.60,27656
E01000989,Croydon 018A,3.10,65.03,26.00,26.40,30.10,13.70,21.00,8.80,69.90,6.70,10.70,11.80,0.90,30.10,82.30,17.70,61.30,0.20,5.90,0.40,2.50,0.40,0.20,22.30,6.90,32.60,54.10,3.70,9.10,97.50,2.50,12.70,61.30,23.00,3.00,275000.00,17.80,15.90,18.40,4.00,12.10,25.90,5.80,4.20,5.40,7.00,87.60,85.10,11.30,3.60,11.30,45.40,34.20,6.10,3.00,1.50,1.40,40012
E01000991,Croydon 018B,4.70,61.80,44.60,18.60,41.40,8.30,23.60,8.20,73.90,3.30,11.30,10.60,0.90,26.10,81.00,19.00,64.90,0.30,5.70,0.30,2.70,0.70,0.70,17.30,7.50,46.50,44.90,2.10,5.70,97.50,2.50,42.60,47.60,8.40,1.50,300000.00,19.10,14.90,16.90,4.10,11.80,28.10,5.20,3.70,6.70,8.70,84.60,83.90,12.20,3.90,8.60,44.90,35.20,7.90,3.50,1.50,1.00,43536
E01001131,Croydon 018C,5.70,62.89,16.40,19.60,22.00,14.70,34.20,9.50,79.30,3.20,7.80,8.30,1.30,20.70,84.60,15.40,60.50,0.20,2.00,0.10,3.10,0.60,0.20,26.60,6.80,27.00,47.70,14.90,9.30,99.30,0.70,7.20,18.10,51.30,23.30,225000.00,18.50,16.90,21.60,3.00,12.50,23.50,4.00,3.20,6.30,9.70,84.00,83.60,12.10,4.40,18.50,53.10,22.90,4.10,1.30,1.20,1.00,32863
E01001132,Croydon 018D,5.60,62.30,43.20,16.10,42.00,8.20,26.70,6.90,77.30,3.60,11.30,6.30,1.50,22.70,82.90,17.10,62.10,0.30,5.20,0.90,4.60,1.40,0.50,18.10,7.00,52.60,37.10,4.00,6.30,97.40,2.60,31.90,54.60,2.70,10.80,280000.00,19.60,13.40,16.50,4.40,12.80,28.70,4.60,4.60,8.30,10.60,81.10,79.60,15.60,4.70,12.20,41.80,33.90,7.60,4.40,1.50,1.50,41723
E01001134,Croydon 018E,5.40,69.26,37.60,20.40,32.70,9.50,31.90,5.60,73.40,5.30,13.40,6.60,1.40,26.60,80.60,19.40,62.90,0.40,4.60,0.10,4.90,0.10,0.20,19.90,6.90,35.40,46.90,5.30,11.30,97.80,2.20,24.50,25.10,32.70,17.70,248500.00,16.80,13.90,15.70,3.00,12.00,32.50,6.10,3.60,5.90,7.50,86.50,85.50,10.80,3.70,16.20,49.10,26.30,6.00,2.40,1.30,1.80,39226
E01001005,Croydon 019A,9.20,65.50,9.20,24.10,14.20,16.00,18.30,27.40,22.30,3.30,48.50,23.50,2.40,77.70,43.60,56.40,47.70,0.50,23.00,0.20,14.10,0.40,0.20,9.40,4.60,18.80,38.10,6.20,35.60,97.50,2.50,7.10,25.80,52.40,14.70,193500.00,15.70,13.80,12.90,1.20,10.90,29.80,15.60,10.20,4.40,6.00,89.60,85.10,11.10,3.80,45.10,42.50,10.30,1.70,0.40,0.70,4.00,25667
E01001008,Croydon 019B,10.20,65.30,18.40,20.60,18.00,25.70,19.90,15.80,36.40,8.00,30.20,22.30,3.00,63.60,60.60,39.40,51.40,0.20,15.00,0.00,11.00,0.20,0.50,13.90,7.80,15.40,30.10,34.60,18.60,98.00,2.00,4.90,40.10,40.40,14.60,172500.00,28.10,16.30,14.10,1.40,9.70,20.30,10.20,9.20,7.20,7.30,85.50,81.90,12.40,5.70,36.20,47.20,12.80,3.30,0.40,0.80,3.10,24104
E01001009,Croydon 019C,6.90,65.44,11.50,26.80,14.40,17.10,21.80,19.90,20.70,6.80,43.00,27.70,1.80,79.30,46.00,54.00,49.90,0.70,18.70,0.00,15.90,0.10,0.10,9.10,5.50,17.10,32.20,17.90,27.40,98.70,1.30,6.80,16.70,48.50,27.90,202500.00,16.30,12.20,12.40,1.10,11.10,31.60,15.40,12.70,4.70,5.40,89.90,86.50,10.50,3.10,43.80,42.70,11.80,1.30,0.30,0.70,3.70,26890
E01001010,Croydon 019D,10.10,63.94,72.90,18.60,15.20,28.80,21.90,15.60,48.00,7.10,20.20,23.60,1.10,52.00,69.70,30.30,57.30,0.30,7.70,0.20,9.10,0.40,0.10,16.40,8.50,16.90,26.30,44.00,11.90,99.10,0.90,3.90,41.70,34.40,18.40,185000.00,30.40,16.30,17.60,1.10,9.20,17.10,8.20,6.70,9.70,8.70,81.60,78.90,13.00,8.10,38.60,44.70,13.00,3.00,0.70,0.80,3.10,22200
E01001011,Croydon 019E,9.30,71.36,12.20,18.70,13.00,17.90,33.20,17.20,24.90,8.00,39.20,24.40,3.50,75.10,44.80,55.20,47.20,0.70,15.60,0.10,17.60,0.40,0.10,13.10,5.30,11.70,24.80,23.20,35.20,96.50,3.50,3.80,14.20,25.20,56.60,187500.00,16.70,13.50,13.30,1.20,11.60,29.20,14.60,10.60,5.90,5.90,88.20,83.80,11.20,4.90,53.40,38.00,7.30,0.90,0.40,0.60,5.60,24395
E01001012,Croydon 020A,12.40,71.70,14.30,14.50,13.00,15.30,35.80,21.40,25.80,7.30,35.10,28.50,3.20,74.20,47.90,52.10,44.10,0.70,12.00,0.10,22.70,0.60,0.20,12.00,7.60,11.40,18.90,16.20,51.90,96.60,3.40,4.70,10.90,18.10,66.30,245000.00,18.40,16.00,11.90,1.80,9.50,30.20,12.10,11.10,8.10,7.80,84.10,81.20,12.90,5.90,57.10,34.90,6.60,1.20,0.30,0.50,7.10,22821
E01001013,Croydon 020B,13.90,67.29,19.90,13.10,10.80,22.10,39.50,14.50,33.80,8.80,23.30,29.00,5.00,66.20,57.90,42.10,51.90,0.50,6.50,0.10,17.30,0.40,0.30,15.70,7.20,6.30,14.00,48.80,28.30,98.50,1.50,5.70,13.90,11.40,69.00,162000.00,25.60,14.10,15.40,1.60,9.60,22.20,11.50,9.00,11.10,9.70,79.20,76.30,15.30,8.40,63.10,30.30,5.20,0.70,0.80,0.50,6.70,20253
E01001048,Croydon 020C,8.80,73.94,35.00,14.90,17.70,15.90,39.00,12.50,36.80,8.10,29.20,22.30,3.60,63.20,49.60,50.40,47.90,1.00,13.60,0.20,9.80,0.30,0.70,18.40,8.10,9.60,17.30,15.80,52.60,91.40,8.60,1.60,4.50,4.30,89.30,172500.00,8.70,12.50,10.60,2.40,8.50,44.80,12.50,7.10,4.00,6.40,89.50,87.00,9.70,3.30,61.10,34.40,4.00,0.30,0.20,0.40,7.40,29107
E01001110,Croydon 020D,9.60,72.47,15.40,16.90,14.90,19.10,36.80,12.30,35.80,8.30,20.40,33.40,2.10,64.20,59.00,41.00,54.90,1.10,5.20,0.10,13.60,0.10,0.90,18.20,6.00,8.20,20.50,24.60,42.50,96.30,3.70,5.20,10.40,14.00,70.40,200000.00,13.30,15.60,14.70,0.80,11.40,35.70,8.50,7.80,7.10,6.50,86.40,83.60,10.70,5.70,53.00,40.10,5.30,1.20,0.40,0.60,5.80,25794
E01001118,Croydon 020E,11.90,66.74,18.60,13.80,16.60,26.70,32.60,10.30,34.40,9.30,19.80,34.10,2.40,65.60,59.90,40.10,54.60,0.60,7.00,0.10,13.50,0.30,0.30,15.90,7.70,11.20,24.20,37.90,23.60,98.30,1.70,5.10,17.70,30.50,46.70,166500.00,23.10,13.90,14.30,2.20,11.50,24.50,10.50,8.90,9.60,8.70,81.70,78.70,13.50,7.80,49.20,40.00,9.90,0.60,0.30,0.60,4.20,23110
E01000985,Croydon 021A,5.40,65.65,38.10,24.10,39.20,8.50,17.90,10.30,70.50,4.80,12.00,11.20,1.50,29.50,77.90,22.10,64.30,0.30,4.40,0.10,6.80,0.90,0.40,17.00,5.70,42.10,46.20,4.90,5.80,98.80,1.20,5.40,26.90,65.10,2.70,287500.00,14.70,16.00,17.90,4.10,11.00,30.60,5.70,4.30,5.10,8.10,86.80,86.20,10.90,2.90,16.70,43.70,30.50,6.40,2.70,1.40,3.10,41014
E01000986,Croydon 021B,4.50,66.57,32.50,19.50,31.00,10.30,27.50,11.70,63.10,7.80,14.50,13.20,1.40,36.90,73.20,26.80,61.90,0.50,4.70,0.20,6.20,0.50,0.20,19.00,6.90,37.20,34.90,7.70,16.20,97.60,2.40,14.40,35.00,18.20,32.40,272500.00,12.60,10.40,13.60,1.80,13.90,40.90,6.80,5.30,6.10,9.40,84.50,85.00,11.70,3.30,27.20,43.30,21.70,5.30,2.50,1.10,4.10,42025
E01000987,Croydon 021C,4.50,67.71,16.00,22.80,38.00,9.40,18.30,11.50,69.20,6.30,12.40,11.10,1.00,30.80,79.70,20.30,65.10,0.60,4.90,0.20,4.10,0.30,0.10,17.30,7.50,41.10,49.50,1.00,7.20,97.00,3.00,1.30,8.10,82.80,7.80,280000.00,16.10,15.10,16.00,4.00,13.80,29.90,5.00,4.20,5.60,8.50,86.00,85.00,11.30,3.70,21.60,44.20,26.30,5.80,1.90,1.20,3.50,40717
E01000993,Croydon 021D,5.50,67.16,16.40,24.40,27.40,15.10,23.50,9.60,67.00,6.20,10.90,14.40,1.50,33.00,79.50,20.50,59.60,0.50,4.30,0.30,5.90,0.00,0.40,22.60,6.50,31.50,40.90,7.60,16.70,98.40,1.60,3.50,25.70,52.70,18.10,250000.00,17.30,15.60,16.40,2.20,12.70,28.90,6.90,5.50,6.00,8.10,85.90,84.60,12.30,3.10,26.90,52.80,16.20,3.40,0.60,1.00,4.40,35169
E01000975,Croydon 022A,5.40,76.01,18.90,13.50,24.90,11.40,33.00,17.20,55.10,8.00,23.80,11.00,2.00,44.90,59.20,40.80,45.00,0.90,7.90,0.20,9.10,0.20,0.90,26.70,9.00,21.00,30.10,7.00,40.80,96.60,3.40,6.30,20.70,24.20,48.80,232500.00,11.80,9.50,12.10,1.10,8.90,47.70,8.90,6.10,4.70,6.80,88.50,86.70,10.10,3.20,43.70,43.00,12.30,0.60,0.60,0.70,7.50,34475
E01000976,Croydon 022B,7.60,72.63,16.40,15.30,19.80,13.70,35.20,16.00,51.60,7.70,21.80,16.30,2.50,48.40,57.70,42.30,47.20,1.00,7.70,0.30,10.00,0.00,0.60,24.20,9.00,15.80,27.50,14.20,40.70,96.40,3.60,2.30,16.70,34.30,46.50,202000.00,15.70,10.30,11.40,1.40,11.20,36.40,13.60,6.80,5.70,7.80,86.40,83.80,11.10,5.00,50.50,39.40,8.60,0.80,0.60,0.60,5.70,27677
E01000977,Croydon 022C,10.50,72.21,17.30,12.60,16.30,9.90,51.70,9.40,54.00,8.30,17.50,18.20,2.00,46.00,61.70,38.30,47.90,0.50,7.40,0.30,7.60,0.60,0.90,24.40,10.40,14.90,23.20,24.90,34.70,96.10,3.90,3.50,8.10,5.10,83.20,170000.00,19.30,12.80,11.20,2.00,9.90,37.20,7.70,4.10,10.70,9.80,79.50,77.10,15.50,7.40,56.60,37.40,5.20,0.40,0.30,0.50,4.50,28282
E01000978,Croydon 022D,7.70,76.51,15.70,13.50,19.20,9.10,47.40,10.90,57.50,6.00,19.70,15.10,1.70,42.50,60.50,39.50,48.70,0.70,9.50,0.30,4.80,0.20,0.50,27.30,8.00,12.50,27.10,10.90,47.80,95.20,4.80,2.90,5.70,8.90,82.40,177500.00,12.20,8.70,11.90,1.20,10.50,45.60,9.80,4.70,5.40,6.70,87.90,85.70,9.70,4.60,54.80,38.00,5.90,0.80,0.50,0.50,5.00,31766
E01000979,Croydon 022E,4.90,74.57,13.10,15.20,24.20,7.50,38.60,14.60,57.50,6.80,24.30,9.40,2.10,42.50,60.50,39.50,47.80,0.90,9.90,0.20,7.20,0.50,1.10,24.00,8.40,20.50,28.40,7.30,40.30,96.20,3.80,2.60,10.50,38.40,48.60,237475.00,10.70,8.20,11.30,0.90,10.20,48.70,10.00,4.40,5.10,6.30,88.50,86.00,10.30,3.70,44.70,47.20,6.70,1.40,0.00,0.60,6.10,36900
E01000984,Croydon 022F,8.10,67.25,17.20,14.20,18.70,13.30,42.30,11.40,51.60,11.70,17.50,16.80,2.40,48.40,62.30,37.70,54.50,1.10,5.20,0.50,7.90,0.00,0.90,22.70,7.20,11.80,24.90,29.80,29.60,97.50,2.50,4.50,15.80,22.80,56.90,209000.00,20.10,10.60,13.80,1.40,11.20,34.20,8.70,5.50,10.40,9.20,80.30,79.00,13.00,8.00,50.50,42.20,5.40,1.60,0.40,0.60,3.80,28278
E01001044,Croydon 023A,6.40,64.72,44.80,20.30,27.90,6.40,37.00,8.40,55.80,3.80,29.20,9.50,1.70,44.20,60.90,39.10,45.40,0.80,16.10,0.30,8.30,0.30,1.20,20.10,7.50,35.50,27.40,3.80,31.60,96.50,3.50,19.50,9.00,26.90,44.60,266000.00,8.80,7.80,11.50,0.80,8.80,55.80,6.50,2.90,6.70,7.60,85.60,85.50,11.00,3.50,27.40,55.70,13.50,3.20,0.10,0.90,2.80,49051
E01001046,Croydon 023B,5.00,67.50,19.60,20.80,23.10,4.90,42.90,8.20,40.50,3.10,49.10,3.50,3.70,59.50,45.10,54.90,31.10,0.80,29.50,0.70,11.40,0.50,1.40,15.10,9.40,30.50,21.40,0.80,46.20,95.90,4.10,4.90,5.60,22.90,66.60,193500.00,6.00,6.00,8.30,0.60,7.50,61.50,10.20,4.60,4.20,7.00,88.70,87.00,10.30,2.70,40.40,48.90,9.80,0.80,0.10,0.70,4.50,49288
E01001049,Croydon 023C,4.80,64.13,138.80,18.80,39.60,8.70,19.80,13.10,49.20,4.40,36.40,8.40,1.60,50.80,63.60,36.40,47.10,1.30,18.70,0.40,7.80,1.10,2.30,14.30,7.00,52.30,32.70,1.80,12.50,96.40,3.60,77.90,4.40,7.40,10.30,380000.00,11.40,7.90,9.50,1.20,9.40,54.20,6.20,5.60,6.70,9.30,84.00,86.10,9.90,4.00,10.70,43.60,32.10,10.30,3.40,1.50,2.90,58743
E01001050,Croydon 023D,6.70,59.66,15.50,17.30,19.60,8.90,45.10,9.10,50.70,4.00,33.40,9.80,2.10,49.30,56.00,44.00,45.00,1.40,19.00,0.40,6.00,0.80,0.90,18.00,8.50,17.00,14.80,37.50,29.10,95.70,4.30,2.10,3.20,15.60,78.90,213000.00,22.10,7.00,9.50,0.40,7.30,44.90,8.70,3.60,12.50,10.30,77.30,78.00,14.50,7.50,53.10,40.60,5.40,0.60,0.20,0.50,6.70,35427
E01001014,Croydon 024A,8.20,71.27,64.20,15.50,19.50,22.40,31.50,11.10,40.90,11.00,22.60,23.40,2.10,59.10,59.30,40.70,50.70,0.70,9.60,0.30,11.50,0.30,0.20,19.60,7.10,8.90,28.70,32.50,24.50,96.90,3.10,2.30,9.60,21.60,66.50,167995.00,17.30,12.40,13.10,1.50,12.00,34.50,9.10,5.40,5.00,7.10,87.90,84.30,10.90,4.80,52.60,40.20,6.20,0.80,0.30,0.60,6.30,26179
E01001042,Croydon 024B,9.00,76.07,20.90,15.00,18.50,17.10,37.30,12.10,55.70,10.10,13.50,17.90,2.80,44.30,64.60,35.40,53.70,1.10,5.00,0.10,9.00,0.20,0.30,24.30,6.40,10.40,21.50,24.80,38.50,95.20,4.80,1.80,14.00,29.20,55.00,204000.00,15.70,12.80,13.20,1.00,11.90,34.40,10.90,7.00,5.10,7.40,87.50,85.60,10.90,3.50,56.30,36.00,6.50,0.80,0.40,0.50,6.80,27231
E01001165,Croydon 024C,6.60,70.29,18.10,20.30,24.60,12.00,30.80,12.40,56.30,6.70,13.30,21.30,2.40,43.70,69.50,30.50,62.30,1.40,5.90,0.00,5.60,0.20,0.60,17.90,6.00,20.90,41.90,8.60,26.60,98.00,2.00,5.50,24.80,43.00,26.70,225500.00,16.30,13.60,13.90,1.50,12.30,32.70,9.70,5.40,6.20,7.40,86.40,85.00,10.50,4.50,34.90,46.00,16.60,1.50,1.00,0.90,4.70,30211
E01001166,Croydon 024D,8.90,69.02,17.60,15.20,16.80,19.00,37.50,11.50,56.30,9.00,12.10,19.70,2.90,43.70,65.90,34.10,56.10,1.20,4.10,0.10,8.30,0.70,0.60,22.00,7.10,10.50,26.30,29.60,31.00,94.40,5.60,3.10,14.20,24.60,58.10,173000.00,17.70,14.60,13.90,1.40,12.40,29.00,11.00,7.80,6.30,7.80,85.90,82.60,12.80,4.50,54.90,36.90,6.80,1.40,0.00,0.50,4.70,25104
E01001168,Croydon 024E,5.50,70.18,22.40,19.90,25.40,10.50,32.70,11.50,58.50,8.50,14.00,16.90,2.10,41.50,72.20,27.80,56.10,1.50,5.90,0.20,4.80,0.50,0.70,22.70,7.70,23.20,43.20,7.60,24.70,96.90,3.10,3.40,25.00,35.20,36.40,176000.00,14.40,14.20,13.90,2.00,12.60,33.80,9.10,5.70,5.60,7.10,87.30,84.50,12.10,3.40,34.10,47.00,16.40,1.80,0.80,0.90,3.90,33059
E01001127,Croydon 025A,4.90,66.58,33.00,23.20,44.10,6.80,17.40,8.50,76.50,3.40,10.60,8.40,1.10,23.50,84.30,15.70,66.50,0.80,6.40,0.10,3.70,0.00,0.20,17.20,5.00,42.70,46.30,7.10,3.30,99.10,0.90,8.80,80.80,2.60,7.80,330000.00,14.60,16.80,16.90,3.40,13.10,29.70,5.60,4.20,5.50,8.90,85.60,84.10,12.30,3.70,10.80,36.20,36.60,11.70,4.70,1.70,2.00,44406
E01001128,Croydon 025B,10.90,61.58,21.90,25.80,17.00,29.50,18.90,8.80,54.60,5.00,11.10,27.60,1.80,45.40,73.50,26.50,53.80,0.20,2.70,0.10,11.30,0.40,0.60,23.60,7.30,15.90,22.80,54.80,5.10,99.80,0.20,2.50,28.40,27.20,42.00,233800.00,24.60,18.20,17.40,2.90,10.40,20.10,6.30,6.20,7.10,7.50,85.40,83.30,10.70,6.00,39.00,42.00,15.70,2.10,1.10,0.80,2.00,24961
E01001130,Croydon 025C,15.40,58.11,13.80,22.40,10.00,43.80,14.20,9.50,38.60,7.90,11.80,39.90,1.80,61.40,65.40,34.60,52.40,0.20,2.10,0.10,15.40,0.20,0.40,18.50,10.60,4.80,10.90,76.60,6.40,100.00,0.00,2.50,4.30,10.70,82.40,123000.00,23.60,16.30,20.40,1.10,10.40,19.70,8.50,9.40,5.90,6.20,87.90,85.10,10.60,4.30,51.20,39.10,8.50,1.00,0.20,0.60,1.90,21596
E01001135,Croydon 025D,4.30,63.43,45.10,20.10,38.80,8.10,23.90,9.00,72.20,4.90,13.40,8.00,1.50,27.80,83.00,17.00,60.60,0.20,6.30,0.40,4.40,0.30,0.40,18.70,8.70,45.20,42.60,2.70,8.40,98.60,1.40,23.30,60.60,5.60,10.50,317000.00,16.60,14.90,17.60,4.20,12.30,30.00,4.40,4.30,5.90,9.70,84.40,84.80,11.60,3.60,15.80,43.60,28.20,7.60,4.80,1.40,2.80,43341
E01001062,Croydon 026A,2.90,62.60,124.40,20.30,44.10,7.00,19.80,8.80,69.90,4.90,15.30,8.90,1.00,30.10,81.40,18.60,65.50,0.80,6.50,0.40,4.90,0.60,0.80,13.30,7.10,47.30,39.90,3.00,8.10,98.80,1.20,34.60,52.20,5.50,7.60,380400.00,15.00,12.20,15.50,2.90,11.80,36.70,5.90,5.20,6.80,9.80,83.40,83.30,13.30,3.40,10.50,39.40,37.00,9.10,4.00,1.60,2.90,48914
E01001063,Croydon 026B,4.80,67.32,31.90,23.90,35.30,8.50,23.70,8.70,73.70,5.10,12.10,8.60,0.50,26.30,81.80,18.20,61.00,1.40,5.60,1.00,4.50,0.50,0.20,17.70,8.10,40.20,45.80,1.90,11.80,98.00,2.00,16.50,53.40,16.70,13.40,242500.00,12.80,14.40,16.10,3.50,11.50,36.30,5.40,4.90,6.40,6.80,86.70,83.70,12.70,3.60,16.50,43.10,28.40,9.90,2.00,1.40,2.70,44865
E01001064,Croydon 026C,4.40,62.05,345.70,18.80,43.20,7.00,21.70,9.30,71.20,2.30,20.00,5.90,0.60,28.80,78.90,21.10,58.40,2.20,7.00,0.40,5.90,0.70,0.60,17.00,7.70,47.00,42.60,2.10,6.70,98.90,1.10,44.40,37.90,13.20,4.50,310000.00,16.50,12.60,15.80,2.90,11.10,34.90,6.30,4.60,4.80,11.20,84.00,82.30,13.60,4.10,8.00,40.10,37.20,11.10,3.60,1.60,2.10,48583
E01001129,Croydon 026D,3.20,65.91,29.00,27.50,45.00,5.60,14.70,7.20,79.70,3.80,8.50,6.90,1.10,20.30,88.00,12.00,67.80,0.50,2.80,0.10,2.10,0.60,0.70,18.70,6.70,44.20,51.20,0.80,2.60,98.80,1.20,7.70,89.80,2.00,0.60,340000.00,13.20,13.90,19.90,3.60,13.70,32.20,3.50,4.00,4.90,8.00,87.10,86.50,10.10,3.40,10.80,36.90,36.10,10.20,6.20,1.70,2.10,49012
E01001133,Croydon 026E,5.40,55.68,40.00,15.60,32.90,5.00,40.60,5.90,75.60,4.20,12.30,7.00,0.80,24.40,82.70,17.30,62.30,0.10,6.90,0.30,2.90,0.30,0.60,18.10,8.50,55.90,31.00,5.40,4.80,96.50,3.50,25.00,34.00,10.00,31.00,265000.00,25.60,14.90,15.80,3.10,9.60,25.20,5.80,2.40,11.60,11.80,76.70,77.60,17.00,5.40,28.80,39.50,23.60,6.10,2.10,1.10,2.60,37953
E01001035,Croydon 027A,7.20,75.97,21.80,12.10,22.90,8.30,44.20,12.50,61.90,5.30,17.40,13.60,1.80,38.10,67.60,32.40,49.00,0.90,7.40,0.30,6.00,0.10,0.70,26.50,9.10,16.50,26.90,7.60,46.20,96.30,3.70,5.80,6.50,5.00,82.80,185500.00,11.10,11.20,14.90,1.00,9.50,45.20,7.10,4.90,7.70,6.10,86.20,85.20,10.70,4.00,35.40,52.30,10.80,1.20,0.40,0.80,3.60,36055
E01001043,Croydon 027B,7.60,78.63,34.20,12.80,19.60,15.50,35.20,17.00,50.20,8.40,20.00,18.90,2.60,49.80,56.60,43.40,47.90,1.30,8.00,0.20,8.80,0.50,0.60,25.00,7.60,8.00,18.60,20.50,45.30,95.60,4.40,2.40,5.60,14.10,78.00,185000.00,11.60,11.60,12.20,0.90,11.50,39.30,12.90,6.40,4.40,5.50,90.10,88.10,8.80,3.10,58.30,34.70,6.40,0.50,0.10,0.50,6.80,28185
